                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83274,                0.54823,                 1.0408,                0.93701,                0.78495,                0.85156,                0.55964,                 1.2459,                0.95568,                 1.3581,             0.00096215,             0.00096215,             0.00096215
                     36,                0.80173,                0.53333,                 1.0069,                0.92892,                0.79185,                0.85911,                0.58833,                 1.1953,                 0.9338,                 1.3346,               0.000948,               0.000948,               0.000948
                     37,                0.77454,                0.52186,                 1.0077,                0.88171,                0.79919,                0.85756,                0.57428,                 1.2354,                 0.9358,                 1.3752,             0.00093385,             0.00093385,             0.00093385
                     38,                0.81147,                0.53447,                 1.0284,                0.91537,                0.78018,                0.83863,                0.57138,                 1.1871,                 1.0181,                 1.3286,              0.0009197,              0.0009197,              0.0009197
                     39,                0.76994,                0.52018,                 1.0083,                0.89954,                0.80195,                0.83735,                0.59045,                 1.1348,                 1.0148,                 1.2857,             0.00090556,             0.00090556,             0.00090556
                     40,                0.77658,                0.50557,                 1.0144,                 0.8705,                0.81412,                 0.8432,                 0.5859,                 1.1631,                0.97933,                  1.289,             0.00089141,             0.00089141,             0.00089141
                     41,                0.81573,                 0.5298,                 1.0323,                0.89639,                0.80344,                0.83594,                0.57605,                 1.1975,                 1.0829,                 1.3321,             0.00087726,             0.00087726,             0.00087726
                     42,                0.75716,                0.47099,                 1.0076,                0.86965,                0.81547,                0.82299,                0.54281,                 1.1893,                 1.0369,                 1.3295,             0.00086312,             0.00086312,             0.00086312
                     43,                0.79393,                0.50785,                 1.0129,                0.93522,                0.78686,                 0.8435,                0.60148,                 1.1288,                0.95561,                   1.26,             0.00084897,             0.00084897,             0.00084897
                     44,                0.77092,                0.49871,                 1.0078,                0.95339,                0.79388,                0.85049,                 0.5703,                 1.2599,                0.92985,                 1.3716,             0.00083482,             0.00083482,             0.00083482
                     45,                0.79508,                0.50566,                 1.0265,                0.89091,                0.80487,                 0.8349,                0.56647,                  1.199,                0.99171,                 1.3335,             0.00082067,             0.00082067,             0.00082067
                     46,                0.74719,                0.48091,                 1.0007,                0.91488,                0.74928,                 0.8351,                0.56955,                 1.1873,                 1.1211,                 1.3235,             0.00080653,             0.00080653,             0.00080653
                     47,                0.78995,                0.51078,                  1.021,                0.87725,                0.83996,                0.85577,                0.57819,                 1.1437,                0.84305,                 1.2971,             0.00079238,             0.00079238,             0.00079238
                     48,                0.72952,                0.48813,                 1.0073,                 0.9298,                0.77865,                0.82925,                0.57587,                 1.1349,                0.97357,                 1.2772,             0.00077823,             0.00077823,             0.00077823
                     49,                0.77464,                0.48588,                 1.0166,                0.89534,                0.80751,                0.84003,                 0.5938,                 1.1118,                0.88972,                 1.2653,             0.00076409,             0.00076409,             0.00076409
                     50,                0.73427,                0.45968,                0.98684,                0.88976,                0.81402,                0.84716,                0.60451,                 1.0933,                0.94677,                 1.2601,             0.00074994,             0.00074994,             0.00074994
                     51,                0.75709,                0.48522,                 1.0078,                0.94892,                0.77987,                0.85319,                0.60449,                 1.1345,                0.93605,                 1.2854,             0.00073579,             0.00073579,             0.00073579
                     52,                0.71904,                0.45305,                0.99508,                0.93142,                0.77657,                0.85665,                0.59243,                 1.1623,                0.99583,                 1.3279,             0.00072164,             0.00072164,             0.00072164
